area_code,gp_access_score,gp_access_quintile,gp_access_decile
E01000128,0.3190396713313647,4,8
E01000129,0.21889844652715368,5,10
E01000130,0.38002310951341634,4,7
E01000131,0.4801643343176274,3,6
E01000132,0.15855693927333417,5,10
E01000133,0.3447169084606496,4,8
E01000134,0.3370137373218641,4,8
E01000135,0.3074849146231865,4,8
E01000136,0.46475799204005647,3,6
E01000137,0.36012325073822055,4,8
E01000138,0.20477596610604698,5,10
E01000139,0.1970727949672615,5,10
E01000140,0.38772628065220177,4,7
E01000141,0.22660161766593914,5,9
E01000142,0.3305944280395429,4,8
E01000143,0.4108357940685582,4,7
E01000144,0.15213762999101296,5,10
E01000145,0.2702529207857235,5,9
E01000146,0.20926948260367184,5,10
E01000147,0.13095390935935292,5,10
E01000148,0.4422904095519322,4,7
E01000150,0.4891513673128771,3,6
E01000151,0.5456412889973038,3,6
E01000152,0.23366285787649246,5,9
E01000153,0.5681088714854281,3,5
E01000154,0.8460649634099369,2,3
E01000155,0.6605469251508537,2,4
E01000156,0.10014122480421107,5,10
E01000157,0.2227500320965464,5,9
E01000158,0.4178970342791115,4,7
E01000159,0.6136859673899089,3,5
E01000160,0.5822313519065347,3,5
E01000161,0.25805623314931314,5,9
E01000162,0.25805623314931314,5,9
E01000163,0.5713185261265887,3,5
E01000164,0.27859802285274105,5,9
E01000165,0.5109770188727693,3,6
E01000166,0.6964950571318526,2,4
E01000167,0.719604570548209,2,4
E01000168,0.5732443189112851,3,5
E01000169,0.33380408268070355,4,8
E01000170,0.13929901142637052,5,10
E01000171,0.14571832070869176,5,10
E01000172,0.3736038002310951,4,8
E01000173,0.49685453845166255,3,6
E01000174,0.4981384003081268,3,6
E01000175,0.7022724354859415,2,4
E01000176,0.5565541147772499,3,5
E01000177,0.3209654641160611,4,8
E01000178,0.3139042239055077,4,8
E01000179,0.3825908332263448,4,7
E01000180,0.4268840672743613,4,7
E01000181,0.28116574656566956,5,9
E01000182,0.09243805366542561,5,10
E01000183,0.4775966106046989,3,6
E01000184,0.7343689818975477,2,4
E01000185,0.32032353318782897,4,8
E01000186,0.3094107074078829,4,8
E01000187,0.5514186673513929,3,5
E01000188,0.31197843112081136,4,8
E01000189,0.19257927846963666,5,10
E01000190,0.4185389652073437,4,7
E01000191,0.35883938888175637,4,8
E01000192,0.09307998459365772,5,10
E01000193,0.3498523558865066,4,8
E01000194,0.25998202593400954,5,9
E01000195,0.9160354345872382,2,3
E01000196,0.1271023237899602,5,10
E01000197,0.07189626396199769,5,10
E01000198,0.5565541147772499,3,5
E01000199,0.6143278983181409,3,5
E01000200,0.45063551161894977,4,7
E01000201,0.5167543972268583,3,6
E01000202,0.4942868147387341,3,6
E01000203,0.7067659519835665,2,4
E01000204,0.2965720888432404,5,9
E01000205,0.5507767364231608,3,5
E01000206,0.7966362819360635,2,4
E01000207,0.30170753626909735,4,8
E01000208,0.35370394145589934,4,8
E01000209,0.4204647579920401,4,7
E01000210,0.2028501733213506,5,10
E01000211,0.34856849403004236,4,8
E01000212,0.20413403517781487,5,10
E01000213,0.48529978174348437,3,6
E01000214,0.44614199512132496,4,7
E01000215,0.3986391064321479,4,7
E01000216,0.22082423931185005,5,9
E01000217,0.3004236744126332,5,9
E01000218,0.14892797534985236,5,10
E01000219,0.3973552445756836,4,7
E01000220,0.19578893311079726,5,10
E01000221,1.0649634099370904,1,2
E01000222,0.3986391064321479,4,7
E01000223,0.6470663756579792,3,5
E01000224,0.23045320323533186,5,9
E01000225,0.5751701116959815,3,5
E01000226,0.4134035177814867,4,7
E01000227,0.3427911156759532,4,8
E01000228,0.9763769418410577,2,3
E01000229,1.024521761458467,1,2
E01000230,0.5456412889973038,3,6
E01000231,2.595968673770702,1,1
E01000232,0.30170753626909735,4,8
E01000233,0.1335216330722814,5,10
E01000234,0.3158300166902041,4,8
E01000235,0.39478752086275515,4,7
E01000236,0.45577095904480674,4,7
E01000237,0.2798818847092053,5,9
E01000238,0.25227885479522405,5,9
E01000239,0.8325844139170624,2,3
E01000240,0.8364359994864552,2,3
E01000241,0.2715367826421877,5,9
E01000242,0.5604057003466427,3,5
E01000243,0.15598921556040568,5,10
E01000244,0.15534728463217357,5,10
E01000245,0.23045320323533186,5,9
E01000246,0.6502760302991397,3,5
E01000247,0.4724611631788419,3,6
E01000248,0.37681345487225565,4,8
E01000249,0.6547695467967645,3,5
E01000250,0.3094107074078829,4,8
E01000251,0.17524714340736938,5,10
E01000252,0.3575555270252921,4,8
E01000253,1.3570419822827064,1,2
E01000254,0.735652843754012,2,4
E01000255,0.9198870201566309,2,3
E01000256,0.909616125304917,2,3
E01000257,0.2824496084221338,5,9
E01000258,0.3158300166902041,4,8
E01000259,0.45512902811657463,4,7
E01000260,1.1920657337270508,1,2
E01000261,0.7735267685197071,2,4
E01000262,0.7786622159455642,2,4
E01000263,0.6438567210168185,3,5
E01000264,0.3774553858004878,4,8
E01000265,0.16048273205803054,5,10
E01000266,0.39542945179098726,4,7
E01000267,0.6887918859930672,2,4
E01000268,0.13608935678520992,5,10
E01000269,0.37424573115932724,4,8
E01000270,0.33316215175247144,4,8
E01000271,0.7041982282706379,2,4
E01000272,0.5982796251123379,3,5
E01000273,0.2927205032738477,5,9
E01000274,0.22531775580947488,5,9
E01000275,0.6611888560790856,2,4
E01000276,0.9930671459750929,2,3
E01000277,0.45320323533187823,4,7
E01000278,0.7549107716009756,2,4
E01000279,1.3377840544357427,1,2
E01000280,0.6708178200025676,2,4
E01000281,0.3659006290923097,4,8
E01000282,0.49107716009757346,3,6
E01000283,0.8325844139170624,2,3
E01000284,0.2952882269867762,5,9
E01000285,0.8820130953909358,2,3
E01000286,0.9648221851328795,2,3
E01000287,1.0014122480421104,2,3
E01000288,0.4262421363461292,4,7
E01000289,0.40120683014507635,4,7
E01000290,1.5785081525227884,1,1
E01000291,0.6085505199640519,3,5
E01000292,0.33316215175247144,4,8
E01000293,0.23494671973295672,5,9
E01000294,0.5225317755809474,3,6
E01000295,0.2689690589292592,5,9
E01000296,0.23815637437411732,5,9
E01000297,0.3858004878675054,4,7
E01000298,0.1823083836179227,5,10
E01000299,0.35627166516882786,4,8
E01000300,0.5218898446527154,3,6
E01000301,0.2901527795609192,5,9
E01000302,0.40891000128386185,4,7
E01000303,0.47695467967646676,3,6
E01000304,0.5488509436384645,3,5
E01000305,0.3447169084606496,4,8
E01000306,0.10206701758890745,5,10
E01000307,0.47888047246116316,3,6
E01000308,0.24842726922583128,5,9
E01000309,0.39350365900629086,4,7
E01000310,0.43201951470021827,4,7
E01000311,0.7664655283091538,2,4
E01000312,0.6265245859545513,3,5
E01000313,0.13673128771344203,5,10
E01000314,0.23045320323533186,5,9
E01000315,0.5475670817820002,3,6
E01000316,0.46283219925536007,3,6
E01000317,0.4865836435999486,3,6
E01000318,0.6688920272178712,2,4
E01000319,0.3755295930157915,4,8
E01000320,0.32995249711131086,4,8
E01000321,0.17524714340736938,5,10
E01000322,0.2086275516754397,5,10
E01000323,0.36397483630761335,4,8
E01000324,0.4108357940685582,4,7
E01000325,0.31262036204904353,4,8
E01000326,0.8146103479265631,2,3
E01000327,0.2818076774939017,5,9
E01000328,0.5295930157915008,3,6
E01000329,0.5218898446527154,3,6
E01000330,0.4230324817049685,4,7
E01000331,0.7086917447682628,2,4
E01000332,0.3902940043651303,4,7
